ID,City,Locality,BHK,Area_SqFt,Price,Price_Per_SqFt,Year
1,Mumbai,Bandra West,3,2259,82049139,36321,2023
2,Mumbai,Bandra West,4,2964,129177048,43582,2023
3,Mumbai,Bandra West,1,610,28649870,46967,2023
4,Mumbai,Bandra West,3,1827,82246059,45017,2023
5,Mumbai,Bandra West,2,1428,67864272,47524,2023
6,Mumbai,Bandra West,4,1772,82332436,46463,2023
7,Mumbai,Bandra West,4,2376,100773288,42413,2023
8,Mumbai,Bandra West,4,1660,76074480,45828,2023
9,Mumbai,Bandra West,4,2996,115334016,38496,2023
10,Mumbai,Bandra West,3,1893,79341309,41913,2023
11,Mumbai,Bandra West,4,3184,151348256,47534,2023
12,Mumbai,Bandra West,1,463,16943022,36594,2023
13,Mumbai,Bandra West,1,792,30813552,38906,2023
14,Mumbai,Bandra West,3,1941,83688156,43116,2023
15,Mumbai,Bandra West,1,601,23286947,38747,2023
16,Mumbai,Bandra West,3,1584,59631264,37646,2023
17,Mumbai,Bandra West,2,1364,57199340,41935,2023
18,Mumbai,Bandra West,1,574,26689852,46498,2023
19,Mumbai,Bandra West,1,591,22241103,37633,2023
20,Mumbai,Bandra West,4,2548,91457912,35894,2023
21,Mumbai,Bandra West,2,884,34756228,39317,2023
22,Mumbai,Bandra West,2,1378,49384764,35838,2023
23,Mumbai,Bandra West,3,1974,79161348,40102,2023
24,Mumbai,Bandra West,3,1797,69554682,38706,2023
25,Mumbai,Bandra West,2,852,40310676,47313,2023
26,Mumbai,Bandra West,1,414,19959354,48211,2023
27,Mumbai,Bandra West,1,748,33633820,44965,2023
28,Mumbai,Bandra West,2,958,44633220,46590,2023
29,Mumbai,Bandra West,2,900,39834900,44261,2023
30,Mumbai,Bandra West,3,1626,63542454,39079,2023
31,Mumbai,Bandra West,3,2232,96121080,43065,2023
32,Mumbai,Bandra West,1,426,16903254,39679,2023
33,Mumbai,Bandra West,3,1899,88056630,46370,2023
34,Mumbai,Bandra West,4,2760,112801200,40870,2023
35,Mumbai,Bandra West,3,2043,93663378,45846,2023
